Idiom,Sense,Idiomatic_Sent,Literal_Sent
авгиевы конюшни,"о сильно запущенных делах, беспорядочном скоплении бумаг, документов","Я понимаю, что моя работа не будет простой, однако не думаю, что меня окружают авгиевы конюшни, о которых говорил Сергей Стадлер, когда возглавил наш вуз","Я понимаю, что моя работа не будет простой, однако не думаю, что меня окружают запущенные проблемы, о которых говорил Сергей Стадлер, когда возглавил наш вуз"
авгиевы конюшни,"о сильно запущенных делах, беспорядочном скоплении бумаг, документов","Детская писательница, которая вместо того, чтобы писать детские книги, выгребает за властью авгиевы конюшни из-за бездействия власти","Детская писательница, которая вместо того, чтобы писать детские книги, устранять хаос из-за бездействия власти"
ахиллесова пята,"уязвимое место, слабая сторона какого-либо или чего-либо","Авторы также отмечают, что действия Москвы похожи на целенаправленную атаку на «ахиллесову пяту США»","Авторы также отмечают, что действия Москвы похожи на целенаправленную атаку на уязвимое место США"
ахиллесова пята,"уязвимое место, слабая сторона какого-либо или чего-либо","В ноябре The National Interest написал, что оптические системы по-прежнему остаются «ахиллесовой пятой» практически любого танка, включая Т-14 «Армата»","В ноябре The National Interest написал, что оптические системы по-прежнему остаются уязвимым местом практически любого танка, включая Т-14 «Армата»"
ахиллесова пята,"уязвимое место, слабая сторона какого-либо или чего-либо","«Ахиллесовой пятой» США является ядерный диспаритет, полагает автор The National Interest Дэвид Пайн","Слабым местом США является ядерный диспаритет, полагает автор The National Interest Дэвид Пайн"
бальзам на душу,"о чём-либо долгожданном, приятном, вызывающем чувство удовлетворения, лестном или умиротворяющем",Вице-премьер Дмитрий Рогозин назвал бальзамом на душу статью The New York Times о военной мощи России,Вице-премьер Дмитрий Рогозин назвал крайне приятной статью The New York Times о военной мощи России
бальзам на душу,"о чём-либо долгожданном, приятном, вызывающем чувство удовлетворения, лестном или умиротворяющем",Министр назвал продление продовольственного эмбарго «бальзамом на душу»,Министр назвал продление продовольственного эмбарго успокоением
без оглядки,"без осмотрительности, не думая о последствиях, невзирая ни на что","Рестрикции штампуются по любым поводам, без оглядки на реальность и последствия для двусторонних отношений","Рестрикции штампуются по любым поводам, не учитывая реальность и последствия для двусторонних отношений"
без оглядки,"без осмотрительности, не думая о последствиях, невзирая ни на что","Россиянка отметила, что ей необходимо выходить на лед и кататься без оглядки на соперниц","Россиянка отметила, что ей необходимо выходить на лед и кататься, не обращая внимания на соперниц"
без оглядки,"без осмотрительности, не думая о последствиях, невзирая ни на что","Впредь оно будет действовать так же, без оглядки на то, совершен ли неподобающий проступок в республике или за ее пределами","Впредь оно будет действовать так же, не учитывая, совершен ли неподобающий проступок в республике или за её пределами"
без оглядки,"без осмотрительности, не думая о последствиях, невзирая ни на что","Пенсия по молодости поможет молодежи без оглядки на материальное положение своих родителей путешествовать по своей стране и даже всему миру, осваивать новые интересные хобби и занятия по душе, заводить новые знакомства и даже новые молодые семьи, что значительно поможет справиться со сложной демографической ситуацией в нашей стране","Пенсия по молодости поможет молодежи вне зависимости от материального положения своих родителей путешествовать по своей стране и даже всему миру, осваивать новые интересные хобби и занятия по душе, заводить новые знакомства и даже новые молодые семьи, что значительно поможет справиться со сложной демографической ситуацией в нашей стране"
без понятия,не знать чего-либо,"На запрос ТАСС с просьбой прокомментировать информацию, Карпин дважды ответил: «Без понятия»","На запрос ТАСС с просьбой прокомментировать информацию, Карпин дважды ответил: «Не знаю»"
без понятия,не знать чего-либо,"Я без понятия, что все это значит","Я не знаю, что всё это значит"
